area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,price_inr,price_per_sqft
Built-up  Area,Ready To Move,Indiranagar,1 Bedroom,477.5,2.0,0.0,61.59,1,6159000.0,12898.429319371728
Super built-up  Area,19-Mar,Whitefield,5 BHK,2740.61,5.0,1.0,169.3,5,16930000.0,6177.456843549428
Super built-up  Area,Ready To Move,Koramangala,2 BHK,861.0,2.0,1.0,117.0,2,11700000.0,13588.850174216028
Super built-up  Area,19-May,Domlur,2 BHK,1144.0,2.0,2.0,102.64,2,10264000.0,8972.027972027972
Super built-up  Area,Ready To Move,Harlur Colony,2 BHK,1239.11,2.0,2.0,129.02,2,12902000.000000002,10412.312062690158
Built-up  Area,Ready To Move,Domlur,2 Bedroom,1014.0,2.0,0.0,105.66,2,10566000.0,10420.118343195267
Carpet  Area,Ready To Move,Bellandur,2 BHK,851.0,1.0,0.0,54.45,2,5445000.0,6398.354876615746
Carpet  Area,Ready To Move,Koramangala,5 BHK,3331.0,4.0,2.0,449.4,5,44940000.0,13491.444010807565
Super built-up  Area,19-May,Sarjapur Road,2 BHK,1118.9475,3.0,2.0,60.44,2,6044000.0,5401.50453886353
Super built-up  Area,Ready To Move,Yelahanka,4 BHK,2509.710924,4.0,1.0,101.0,4,10100000.0,4024.3678677951198
Super built-up  Area,Ready To Move,Hsr Layout,3 BHK,1459.0,3.0,0.0,122.19,3,12219000.0,8374.914324880056
Super built-up  Area,Ready To Move,Nallurhalli Township,3 BHK,1993.0,3.0,1.0,91.79,3,9179000.0,4605.619668840944
Super built-up  Area,Ready To Move,Kanakapura Road,1 Bedroom,733.09,1.0,1.0,35.21,1,3521000.0,4802.957344937184
Built-up  Area,Ready To Move,Electronic City,2 BHK,1096.0,1.0,0.0,41.06,2,4106000.0,3746.3503649635036
Built-up  Area,Ready To Move,Gunjur Stage 2,2 Bedroom,1458.0,3.0,2.0,128.7,2,12869999.999999998,8827.16049382716
Super built-up  Area,Ready To Move,Whitefield,1 Bedroom,639.0,1.0,1.0,35.74,1,3574000.0,5593.114241001565
Built-up  Area,Ready To Move,Kr Puram,4 BHK,2556.73,3.0,1.0,96.51,4,9651000.0,3774.74352004318
Carpet  Area,Ready To Move,Jp Nagar,1 BHK,408.0,1.0,1.0,26.07,1,2607000.0,6389.705882352941
Super built-up  Area,Ready To Move,Mahadevapura Nagar,3 Bedroom,1684.65,3.0,1.0,76.36,3,7636000.0,4532.692250615854
Super built-up  Area,Ready To Move,Gunjur Colony,3 BHK,1348.73,2.0,1.0,60.95,3,6095000.0,4519.066084390501
Super built-up  Area,Ready To Move,Btm Layout,3 BHK,1380.3075000000001,2.0,1.0,94.94,3,9494000.0,6878.177507548136
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1139.5,2.0,2.0,72.87,2,7287000.0,6394.910048266784
Super built-up  Area,Ready To Move,Nagarbhavi Main Road,2 BHK,1056.33,1.0,3.0,40.12,2,4011999.9999999995,3798.0555318887086
Super built-up  Area,Ready To Move,Hebbal,4 BHK,2370.0,4.0,0.0,155.27,4,15527000.000000002,6551.476793248946
Super built-up  Area,18-Dec,Subramanyapura Main Road,2 BHK,975.15,3.0,2.0,67.02,2,6702000.0,6872.788801722812
Super built-up  Area,Ready To Move,Sarjapur Road,4 BHK,1869.43,4.0,1.0,97.57,4,9757000.0,5219.23794953542
Carpet  Area,18-Jun,Kengeri,2 BHK,964.0148839999999,1.0,1.0,44.59,2,4459000.0,4625.447256061246
Built-up  Area,Ready To Move,Hsr Layout,2 BHK,1017.78,2.0,1.0,84.68,2,8468000.0,8320.069170154651
Super built-up  Area,Ready To Move,Nallurhalli Nagar,3 BHK,1989.0,3.0,0.0,79.46,3,7945999.999999999,3994.972347913524
Built-up  Area,18-Dec,Kaggadasapura Layout,4 BHK,2472.0,4.0,0.0,98.67,4,9867000.0,3991.5048543689322
Built-up  Area,Ready To Move,Marathahalli,3 Bedroom,1488.0,3.0,2.0,95.95,3,9595000.0,6448.252688172043
Built-up  Area,19-May,Rajaji Nagar,2 BHK,871.2,3.0,0.0,81.07,2,8106999.999999999,9305.555555555555
Super built-up  Area,Ready To Move,Kaggadasapura Cross,2 BHK,1182.306776,2.0,3.0,72.34,2,7234000.0,6118.547357458434
Super built-up  Area,19-Aug,Rajaji Nagar,1 BHK,470.44800000000004,2.0,0.0,42.19,1,4219000.0,8968.047478148488
Super built-up  Area,18-Nov,Uttarahalli,2 BHK,1208.0,2.0,1.0,50.01,2,5001000.0,4139.900662251655
Built-up  Area,19-May,Old Airport Road Colony,2 BHK,908.0,3.0,3.0,50.2,2,5020000.0,5528.63436123348
